"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"SSBL3P",7.806,7.835,9.471,7.168,7.031,5.967,7.056,5.83,6.889,7.019,6.26,7.985,6.899,4.877,7.27,6.477,5.993,6.949,8.216,9.666,7.222,7.422,6.644,9.481,5.381,7.155,11.45,7.089,4.148,6.898,5.447,5.96,6.254,4.759,6.839,7.272,4.493,10.066,6.634,6.522
"PRR34-AS1",8.768,8.504,6.089,8.304,5.888,5.444,6.217,5.39,7.28,4.953,5.03,8.961,5.708,6.553,7.884,6.828,6.537,5.891,6.137,5.801,7.277,9.45,8.122,9.578,10.101,9.83,10.151,12.281,11.893,8.165,10.005,6.761,9.245,9.921,11.06,9.146,8.393,9.5,9.018,9.486
"EPS15",4.893,6.774,6.517,7.425,6.332,5.398,5.802,7.049,7.362,6.365,6.402,7.28,5.8,5.893,8.189,4.969,4.838,7.746,8.78,7.243,8.4,7.061,7.112,8.516,6.727,7.727,8.999,7.467,8.61,6.796,5.053,9.025,7.611,5.921,5.816,7.074,6.734,8.261,6.218,5.835
"LOC130065672",7.103,5.746,6.118,4.575,8.495,6.45,7.753,7.79,6.889,7.755,7.172,7.458,4.271,7.659,4.72,8.795,4.825,4.446,7.591,6.932,7.488,6.882,7.296,7.401,8.652,8.739,10.102,6.892,7.5,6.34,6.847,8.035,4.694,8.658,6.095,7.758,7.552,5.454,7.332,8.446
"LOC105374521",7.666,9.41,7.132,6.877,5.112,5.35,6.908,8.439,6.834,6.207,8.582,7.898,4.764,6.878,5.805,8.009,7.19,9.034,6.336,8.768,7.236,6.076,7.207,5.208,5.285,6.795,8.455,7.349,9.313,5.581,8.897,6.903,6.581,7.859,7.363,8.661,6.592,9.264,6.027,8.546
"LOC127274951",6.715,9.19,7.719,8.664,6.958,9.243,7.239,8.347,7.535,6.887,7.255,7.003,7.824,5.257,8.726,6.366,5.595,5.364,6.48,6.776,6.461,6.582,6.131,8.588,6.615,8.493,7.622,5.98,8.235,7.275,7.138,5.817,5.838,8.693,7.13,5.113,6.392,6.567,8.096,7.512
"LOC127889175",5.926,8.375,5.021,5.707,6.213,6.628,6.119,7.218,8.131,7.167,7.501,9.868,6.539,7.489,9.533,6.265,7.117,6.435,6.979,6.339,9.792,7.967,7.098,7.345,5.568,9.272,7.608,8.083,10.204,9.211,7.772,6.754,6.843,5.508,9.247,7.783,6.91,5.426,6.39,7.552
"CRY2",5.682,8.059,5.672,7.197,8.125,8.268,8.285,6.583,6.166,8.503,8.461,7.369,7.477,4.14,6.15,6.913,6.228,7.541,8.063,6.516,5.944,6.119,8.248,8.003,9.221,8.139,6.665,5.806,5.363,7.633,8.074,7.884,7.877,7.881,7.411,6.291,6.221,5.947,8.61,9.924
"KRTAP10-4",8.667,5.447,5.192,6.06,7.44,6.147,7.685,7.023,6.733,7.031,6.082,7.404,3.058,8.171,7.049,7.228,7.549,8.704,7.576,3.763,7.452,4.577,7.568,5.154,4.378,5.249,9.16,3.684,4.941,8.703,10.352,7.177,6.535,8.027,5.877,7.356,7.834,4.851,7.594,6.256
"LOC124905240",6.724,4.362,7.563,8.359,6.624,7.096,7.539,7.719,5.709,6.509,8.409,9.181,6.271,4.915,5.988,7.139,7.778,6.507,8.98,8.706,6.994,8.992,7.153,6.399,8.24,8.047,8.677,6.434,6.177,5.456,5.884,5.544,9.057,11,5.779,7.304,4.362,8.084,7.807,7.35
