"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"RNU7-62P",8.38,7.975,6.815,7.2,8.027,7.228,7.477,8.477,8.731,7.498,6.615,6.694,6.742,7.123,6.089,5.197,3.823,5.761,7.312,8.817,5.952,10.419,5.506,7.503,5.104,4.995,5.595,6.887,5.736,4.532,6.343,4.956,6.204,7.899,6.979,7.643,5.956,6.272,8.417,6.229
"LOC130061610",7.177,7.293,6.66,6.378,5.049,9.747,6.803,7.843,6.796,7.087,6.106,8.594,8.338,10.646,6.724,6.568,6.282,8.151,6.32,8.744,6.957,6.675,6.608,6.746,7.141,8.333,8.676,8.756,9.322,6.38,8.25,7.747,9.462,11.588,5.405,5.851,7.208,7.447,7.727,9.352
"LOC124902527",6.064,6.334,6.704,8.614,7.288,10.042,5.598,8.914,7.085,4.746,6.16,6.221,7.122,7.231,5.92,3.358,8.27,5.942,5.155,7.476,4.821,7.863,9.489,5.719,5.798,8.184,6.078,9.684,6.311,6.608,7.856,7.813,7.947,10.517,7.488,7.422,9.224,7.57,7.406,7.013
"LOC132090870",6.731,9.135,8.379,5.388,8.949,8.943,7.803,8.068,5.759,6.801,7.44,7.542,7.864,5.72,7.907,4.985,9.176,7.353,7.689,8.177,3.696,6.084,7.838,4.656,7.228,5.549,6.049,8.295,3.305,7.938,3.668,6.681,6.999,7.037,8.092,8.371,9.502,3.493,5.175,4.609
"LOC129662420",8.108,5.879,5.696,8.584,6.161,8.232,9.054,7.013,5.857,8.345,7.953,8.791,6.557,5.719,7.238,6.565,5.749,7.871,5.769,5.745,10.717,6.998,7.459,6.683,7.329,8.369,9.422,6.708,7.71,8.24,10.537,8.33,10.407,6.882,8.973,7.13,7.05,6.514,8.586,9.367
"LOC127398516",5.668,4.894,5.092,5.186,6.231,8.929,5.74,7.216,8.941,4.269,8.693,6.368,6.579,4.751,5.708,4.732,7.021,4.401,7.406,6.783,6.439,5.458,2.675,6.264,3.53,6.663,5.414,5.67,3.815,5.525,3.851,7.62,7.089,7.04,5.499,6.555,4.492,9.018,6.35,5.338
"LOC129931198",8.118,8.266,7.815,6.579,10.623,7.933,6.43,7.446,5.964,5.573,9.168,7.715,9.132,4.067,4.173,8.591,9.505,6.217,6.678,4.226,5.706,4.849,6.223,2.995,5.566,5.957,6.61,8.192,7.135,7.555,2.915,7.42,6.703,5.13,5.457,10.1,5.183,6.079,2.621,5.587
"LOC105376975",6.57,7.075,9.67,6.993,6.76,8.339,5.282,7.511,7.755,5.248,9.669,6.375,7.166,6.985,7.756,8.505,5.019,7.502,6.681,4.066,5.096,5.91,3.395,6.408,4.889,3.461,6.964,4.973,4.016,5.658,6.232,6.192,6.463,4.584,4.841,3.952,4.176,3.2,6.513,5.873
"LOC126088095",6.164,7.46,6.133,7.705,7.179,5.549,6.627,6.308,6.92,10.679,6.317,4.204,5.166,9.017,6.475,6.46,7.67,4.563,6.302,6.241,7.19,7.169,4.359,7.761,4.679,5.034,6.946,6.395,5.704,7.539,6.588,5.753,5.717,7.196,5.861,5.331,6.232,6.633,3.82,5.407
"LOC129660817",7.38,6.7,7.212,5.445,7.927,7.567,7.439,8.787,7.483,9.617,1.981,6.23,5.961,5.306,7.331,8.562,6.035,4.541,10.917,4.232,5.454,8.768,9.056,8.106,6.101,8.568,6.937,8.093,8.02,6.179,8.269,8.455,6.367,7.434,4.661,9.245,8.826,6.871,10.705,7.428
"LOC105374974",6.292,4.756,4.953,6.175,5.44,10.128,6.47,5.617,8.58,6.64,5.413,4.487,7.155,7.888,6.828,7.591,8.964,7.166,7.569,4.519,8.695,6.285,7.932,8.44,5.951,7.224,8.326,8.846,9.039,6.576,8.379,9.323,8.961,7.296,8.186,5.295,9.633,4.103,8.315,6.298
