"Gene","Cell001","Cell002","Cell003","Cell004","Cell005","Cell006","Cell007","Cell008","Cell009","Cell010","Cell011","Cell012","Cell013","Cell014","Cell015","Cell016","Cell017","Cell018","Cell019","Cell020","Cell021","Cell022","Cell023","Cell024","Cell025","Cell026","Cell027","Cell028","Cell029","Cell030","Cell031","Cell032","Cell033","Cell034","Cell035","Cell036","Cell037","Cell038","Cell039","Cell040","Cell041","Cell042","Cell043","Cell044","Cell045","Cell046","Cell047","Cell048","Cell049","Cell050","Cell051","Cell052","Cell053","Cell054","Cell055","Cell056","Cell057","Cell058","Cell059","Cell060","Cell061","Cell062","Cell063","Cell064","Cell065","Cell066","Cell067","Cell068","Cell069","Cell070","Cell071","Cell072","Cell073","Cell074","Cell075","Cell076","Cell077","Cell078","Cell079","Cell080","Cell081","Cell082","Cell083","Cell084","Cell085","Cell086","Cell087","Cell088","Cell089","Cell090","Cell091","Cell092","Cell093","Cell094","Cell095","Cell096","Cell097","Cell098","Cell099","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200","Cell201","Cell202","Cell203","Cell204","Cell205","Cell206","Cell207","Cell208","Cell209","Cell210","Cell211","Cell212","Cell213","Cell214","Cell215","Cell216","Cell217","Cell218","Cell219","Cell220","Cell221","Cell222","Cell223","Cell224","Cell225","Cell226","Cell227","Cell228","Cell229","Cell230","Cell231","Cell232","Cell233","Cell234","Cell235","Cell236","Cell237","Cell238","Cell239","Cell240","Cell241","Cell242","Cell243","Cell244","Cell245","Cell246","Cell247","Cell248","Cell249","Cell250","Cell251","Cell252","Cell253","Cell254","Cell255","Cell256","Cell257","Cell258","Cell259","Cell260","Cell261","Cell262","Cell263","Cell264","Cell265","Cell266","Cell267","Cell268","Cell269","Cell270","Cell271","Cell272","Cell273","Cell274","Cell275","Cell276","Cell277","Cell278","Cell279","Cell280","Cell281","Cell282","Cell283","Cell284","Cell285","Cell286","Cell287","Cell288","Cell289","Cell290","Cell291","Cell292","Cell293","Cell294","Cell295","Cell296","Cell297","Cell298","Cell299","Cell300"
"Tcell_m01",8,3,5,8,7,6,4,8,1,5,3,5,9,7,6,7,13,8,5,11,12,9,4,5,8,6,8,7,5,10,4,6,8,3,6,6,1,5,6,5,4,4,6,12,5,6,8,8,7,6,6,7,5,6,4,6,4,7,6,5,9,5,8,10,6,2,3,5,8,9,8,7,7,4,8,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
"Tcell_m02",6,9,3,9,8,4,7,5,4,4,10,7,4,9,5,8,4,6,7,4,6,3,6,8,6,7,10,6,9,3,5,13,4,4,5,7,14,6,7,10,5,8,7,7,4,4,9,8,7,10,9,4,5,2,6,5,3,7,12,6,5,6,5,8,12,10,2,8,3,4,7,1,6,8,4,0,0,0,0,0,0,1,0,0,0,1,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,1,1,1,0
"Tcell_m03",5,4,13,6,4,8,8,5,7,7,7,7,9,5,7,6,10,5,4,9,7,9,8,7,5,6,9,3,3,5,10,8,11,8,12,6,8,3,4,9,8,5,1,4,5,4,6,6,8,7,8,6,6,6,5,6,10,9,2,7,6,8,6,5,5,1,4,7,4,4,11,5,6,9,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Tcell_m04",11,8,5,8,6,6,7,7,12,3,8,9,3,5,4,3,7,7,9,2,9,5,7,8,5,4,5,13,3,6,7,3,6,3,8,8,10,8,12,6,4,4,6,5,7,4,1,10,4,9,3,8,9,8,7,3,5,8,4,5,9,11,5,3,7,6,8,6,3,2,6,5,4,9,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
"Tcell_m05",7,6,9,6,8,7,6,6,5,5,2,4,3,7,5,8,6,4,8,7,9,4,3,7,9,5,4,4,6,7,7,7,9,8,8,5,7,8,7,6,7,7,7,7,7,1,8,12,6,6,4,4,6,10,4,4,3,6,5,9,6,5,10,6,5,3,6,6,3,5,5,4,4,11,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,2,0,0,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
"Tcell_m06",5,5,5,10,4,11,5,9,3,10,5,8,6,5,9,4,3,4,5,10,9,1,6,8,8,5,5,8,13,6,13,9,14,12,7,7,6,6,5,6,5,4,12,5,6,9,3,7,7,8,2,4,7,5,4,5,8,7,6,9,6,7,5,10,7,5,7,9,12,4,8,7,4,6,6,2,1,1,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tcell_m07",4,7,8,8,7,10,3,8,7,5,5,11,6,4,5,8,5,3,5,3,5,9,7,8,4,13,8,1,3,10,8,3,7,7,6,5,9,10,3,7,9,6,7,5,9,3,5,10,4,10,7,10,4,5,9,8,10,8,4,6,4,6,4,7,8,5,7,5,7,11,7,4,6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
"Tcell_m08",4,5,6,8,1,2,6,7,10,9,11,4,4,5,6,10,11,5,7,2,5,7,6,5,8,9,8,8,6,6,5,7,5,7,3,8,8,4,8,5,4,4,7,9,3,3,9,3,7,7,4,7,5,6,6,12,7,7,8,9,4,12,1,5,8,8,3,10,5,6,4,5,10,7,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,2,0,0,0,1,1,1,0,3,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0
"Tcell_m09",4,8,10,4,9,9,4,3,4,9,10,4,10,6,11,9,6,2,6,8,5,6,8,3,8,7,6,5,10,5,5,5,12,8,6,6,2,8,9,5,6,6,8,6,6,13,8,9,6,6,5,4,9,9,9,3,5,7,5,7,6,9,5,7,6,7,4,5,6,5,6,8,5,4,6,1,1,1,1,1,0,0,0,0,0,2,0,0,0,2,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,1,0,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Tcell_m10",12,5,7,7,4,4,4,6,4,6,0,5,6,6,10,9,5,6,5,4,4,5,5,4,7,5,7,3,4,8,8,5,5,7,10,8,5,6,8,9,7,6,6,10,3,4,4,6,4,6,3,4,3,4,8,7,6,4,2,7,9,8,6,9,7,8,3,6,3,5,5,8,8,7,4,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1
