"Name","Category","Status","Detail"
"aria2","00_下载工具_辅助软件","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\00_下载工具_辅助软件\aria2"
"chemCPA","11_单细胞扰动和药物响应模型","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\11_单细胞扰动和药物响应模型\chemCPA"
"multinichenetr","02_配体-靶基因通信模型","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\02_配体-靶基因通信模型\multinichenetr"
"openEBGM","03_FAERS药物警戒信号挖掘","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\03_FAERS药物警戒信号挖掘\openEBGM"
"PhViD","03_FAERS药物警戒信号挖掘","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\03_FAERS药物警戒信号挖掘\PhViD"
"pvda","03_FAERS药物警戒信号挖掘","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\03_FAERS药物警戒信号挖掘\pvda"
"spacexr","05_空间去卷积_空间邻域","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\05_空间去卷积_空间邻域\spacexr"
"pySCENIC","06_SCENIC调控网络","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\06_SCENIC调控网络\pySCENIC"
"AUCell","06_SCENIC调控网络","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\06_SCENIC调控网络\AUCell"
"RcisTarget","06_SCENIC调控网络","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\06_SCENIC调控网络\RcisTarget"
"GENIE3","06_SCENIC调控网络","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\06_SCENIC调控网络\GENIE3"
"arboreto","06_SCENIC调控网络","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\06_SCENIC调控网络\arboreto"
"slingshot","07_替代轨迹_分化潜能","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\07_替代轨迹_分化潜能\slingshot"
"tradeSeq","07_替代轨迹_分化潜能","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\07_替代轨迹_分化潜能\tradeSeq"
"cytotrace2","07_替代轨迹_分化潜能","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\07_替代轨迹_分化潜能\cytotrace2"
"MOFA2","08_多组学潜变量整合","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\08_多组学潜变量整合\MOFA2"
"mixOmics","08_多组学潜变量整合","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\08_多组学潜变量整合\mixOmics"
"NMF","09_无监督分型和共识聚类","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\09_无监督分型和共识聚类\NMF"
"AutoDock-Vina","10_分子动力学_对接自动化","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\10_分子动力学_对接自动化\AutoDock-Vina"
"mdanalysis","10_分子动力学_对接自动化","moved","C:\Users\fsy\Desktop\原始代码\按分析用途分类\18_外部方法源码_待整合\10_分子动力学_对接自动化\mdanalysis"
