"exposure","SNP","true_beta","is_pleio"
"ExpA","ExpA_rs00001",0.5,FALSE
"ExpA","ExpA_rs00002",0.5,FALSE
"ExpA","ExpA_rs00003",0.5,FALSE
"ExpA","ExpA_rs00004",0.5,FALSE
"ExpA","ExpA_rs00005",0.5,TRUE
"ExpA","ExpA_rs00006",0.5,FALSE
"ExpA","ExpA_rs00007",0.5,TRUE
"ExpA","ExpA_rs00008",0.5,FALSE
"ExpA","ExpA_rs00009",0.5,FALSE
"ExpA","ExpA_rs00010",0.5,FALSE
"ExpA","ExpA_rs00011",0.5,FALSE
"ExpA","ExpA_rs00012",0.5,FALSE
"ExpA","ExpA_rs00013",0.5,FALSE
"ExpA","ExpA_rs00014",0.5,FALSE
"ExpA","ExpA_rs00015",0.5,FALSE
"ExpA","ExpA_rs00016",0.5,FALSE
"ExpA","ExpA_rs00017",0.5,FALSE
"ExpA","ExpA_rs00018",0.5,TRUE
"ExpA","ExpA_rs00019",0.5,FALSE
"ExpA","ExpA_rs00020",0.5,FALSE
"ExpA","ExpA_rs00021",0.5,FALSE
"ExpA","ExpA_rs00022",0.5,TRUE
"ExpA","ExpA_rs00023",0.5,FALSE
"ExpA","ExpA_rs00024",0.5,FALSE
"ExpA","ExpA_rs00025",0.5,FALSE
"ExpA","ExpA_rs00026",0.5,FALSE
"ExpA","ExpA_rs00027",0.5,FALSE
"ExpA","ExpA_rs00028",0.5,FALSE
"ExpA","ExpA_rs00029",0.5,FALSE
"ExpA","ExpA_rs00030",0.5,FALSE
"ExpA","ExpA_rs00031",0.5,TRUE
"ExpA","ExpA_rs00032",0.5,TRUE
"ExpA","ExpA_rs00033",0.5,FALSE
"ExpA","ExpA_rs00034",0.5,FALSE
"ExpA","ExpA_rs00035",0.5,FALSE
"ExpA","ExpA_rs00036",0.5,FALSE
"ExpA","ExpA_rs00037",0.5,FALSE
"ExpA","ExpA_rs00038",0.5,FALSE
"ExpA","ExpA_rs00039",0.5,FALSE
"ExpA","ExpA_rs00040",0.5,FALSE
"ExpA","ExpA_rs00041",0.5,FALSE
"ExpA","ExpA_rs00042",0.5,FALSE
"ExpA","ExpA_rs00043",0.5,FALSE
"ExpA","ExpA_rs00044",0.5,TRUE
"ExpA","ExpA_rs00045",0.5,FALSE
"ExpA","ExpA_rs00046",0.5,FALSE
"ExpA","ExpA_rs00047",0.5,FALSE
"ExpA","ExpA_rs00048",0.5,FALSE
"ExpA","ExpA_rs00049",0.5,FALSE
"ExpA","ExpA_rs00050",0.5,FALSE
"ExpA","ExpA_rs00051",0.5,FALSE
"ExpA","ExpA_rs00052",0.5,FALSE
"ExpA","ExpA_rs00053",0.5,FALSE
"ExpA","ExpA_rs00054",0.5,FALSE
"ExpA","ExpA_rs00055",0.5,FALSE
"ExpA","ExpA_rs00056",0.5,FALSE
"ExpA","ExpA_rs00057",0.5,FALSE
"ExpA","ExpA_rs00058",0.5,FALSE
"ExpA","ExpA_rs00059",0.5,FALSE
"ExpA","ExpA_rs00060",0.5,FALSE
"ExpA","ExpA_rs00061",0.5,FALSE
"ExpA","ExpA_rs00062",0.5,FALSE
"ExpA","ExpA_rs00063",0.5,FALSE
"ExpA","ExpA_rs00064",0.5,TRUE
"ExpA","ExpA_rs00065",0.5,FALSE
"ExpA","ExpA_rs00066",0.5,FALSE
"ExpA","ExpA_rs00067",0.5,FALSE
"ExpA","ExpA_rs00068",0.5,FALSE
"ExpA","ExpA_rs00069",0.5,FALSE
"ExpA","ExpA_rs00070",0.5,FALSE
"ExpB","ExpB_rs00001",0.35,FALSE
"ExpB","ExpB_rs00002",0.35,TRUE
"ExpB","ExpB_rs00003",0.35,FALSE
"ExpB","ExpB_rs00004",0.35,FALSE
"ExpB","ExpB_rs00005",0.35,FALSE
"ExpB","ExpB_rs00006",0.35,FALSE
"ExpB","ExpB_rs00007",0.35,TRUE
"ExpB","ExpB_rs00008",0.35,FALSE
"ExpB","ExpB_rs00009",0.35,FALSE
"ExpB","ExpB_rs00010",0.35,FALSE
"ExpB","ExpB_rs00011",0.35,FALSE
"ExpB","ExpB_rs00012",0.35,FALSE
"ExpB","ExpB_rs00013",0.35,FALSE
"ExpB","ExpB_rs00014",0.35,FALSE
"ExpB","ExpB_rs00015",0.35,FALSE
"ExpB","ExpB_rs00016",0.35,FALSE
"ExpB","ExpB_rs00017",0.35,FALSE
"ExpB","ExpB_rs00018",0.35,FALSE
"ExpB","ExpB_rs00019",0.35,FALSE
"ExpB","ExpB_rs00020",0.35,FALSE
"ExpB","ExpB_rs00021",0.35,FALSE
"ExpB","ExpB_rs00022",0.35,FALSE
"ExpB","ExpB_rs00023",0.35,FALSE
"ExpB","ExpB_rs00024",0.35,TRUE
"ExpB","ExpB_rs00025",0.35,TRUE
"ExpB","ExpB_rs00026",0.35,FALSE
"ExpB","ExpB_rs00027",0.35,FALSE
"ExpB","ExpB_rs00028",0.35,FALSE
"ExpB","ExpB_rs00029",0.35,FALSE
"ExpB","ExpB_rs00030",0.35,TRUE
"ExpB","ExpB_rs00031",0.35,FALSE
"ExpB","ExpB_rs00032",0.35,FALSE
"ExpB","ExpB_rs00033",0.35,TRUE
"ExpB","ExpB_rs00034",0.35,FALSE
"ExpB","ExpB_rs00035",0.35,FALSE
"ExpB","ExpB_rs00036",0.35,FALSE
"ExpB","ExpB_rs00037",0.35,FALSE
"ExpB","ExpB_rs00038",0.35,FALSE
