#demo platform annotation (synthetic, for demo only)
ID	Gene Symbol
PROBE0001	LOC130006937
PROBE0002	LOC130056356
PROBE0003	LOC132089982
PROBE0004	LOC130006453
PROBE0005	UBE2L3
PROBE0006	LOC127407158
PROBE0007	LOC132089690
PROBE0008	LOC127268874
PROBE0009	LOC129998367
PROBE0010	ROBO3
PROBE0011	LOC130004319
PROBE0012	LOC130062811
PROBE0013	LOC127459486
PROBE0014	LOC126860264
PROBE0015	LOC127274043
PROBE0016	RN7SKP11
PROBE0017	SAMD3
PROBE0018	COMTD1
PROBE0019	LOC129389482
PROBE0020	LOC124908385
PROBE0021	MAPK4
PROBE0022	LOC127274873
PROBE0023	LOC105369726
PROBE0024	LOC125371466
PROBE0025	LINC01465
PROBE0026	MAPK4
PROBE0027	LOC130006937
PROBE0028	LOC130006453
PROBE0029	LOC132089690
PROBE0030	LOC132089982
