SNP	BETA	SE	N
rs0000	0.06920246462602284	0.01108947173378261	8000
rs0001	0.07019585258365807	0.011088691060250688	8000
rs0002	0.07225172204644503	0.01108703989229671	8000
rs0003	0.09840034109784779	0.011061849963611545	8000
rs0004	0.05329045695256963	0.011100454170787	8000
rs0005	0.07802246061499457	0.011082149039744145	8000
rs0006	0.06761178167888152	0.011090698519390364	8000
rs0007	0.06045277903570381	0.011095865181305467	8000
rs0008	0.06675438827039569	0.011091347881687233	8000
rs0009	0.06069454547360484	0.011095700159816337	8000
rs0010	0.07906017033997474	0.011081229465730081	8000
rs0011	0.06672992231398109	0.011091366289252036	8000
rs0012	0.07533113677080144	0.01108447701806961	8000
rs0013	0.06260386425185589	0.011094373694888427	8000
rs0014	0.06019961100713762	0.011096037276544003	8000
rs0015	0.07592938396841585	0.01108396664275592	8000
rs0016	0.07975053319629263	0.011080610922633637	8000
rs0017	0.06424281522493629	0.011093202163819888	8000
rs0018	0.07935253556355194	0.011080968176504544	8000
rs0019	0.06774491213019572	0.011090596943921548	8000
rs0020	-0.024883284645602893	0.011112953661391988	8000
rs0021	-0.024610045374065942	0.011113029737346214	8000
rs0022	-0.022160392039690748	0.011113674232410132	8000
rs0023	-0.019687316532994676	0.011114256373998805	8000
rs0024	-0.022771690229753297	0.011113519727026653	8000
rs0025	-0.023437942282967573	0.011113346541562121	8000
rs0026	-0.014971706947980605	0.01111517564677307	8000
rs0027	-0.014528622287390209	0.011115249163204308	8000
rs0028	-0.028347311927236083	0.01111191631928101	8000
rs0029	-0.02051939321540788	0.011114068193871816	8000
rs0030	-0.02341032398159034	0.011113353819931495	8000
rs0031	-0.016249096437514737	0.011114951339131348	8000
rs0032	-0.022364610901934357	0.01111362308404571	8000
rs0033	-0.0203903329676024	0.011114097892338996	8000
rs0034	-0.018316937991681128	0.01111454931167911	8000
rs0035	-0.027975124028654198	0.011112034253820577	8000
rs0036	-0.022705445372309643	0.01111353667360102	8000
rs0037	-0.024983168339022872	0.011112925641741123	8000
rs0038	-0.017216243891028646	0.011114769296739152	8000
rs0039	-0.02355883263430822	0.011113314581761	8000
rs0040	0.012539644080350859	0.011115551961867016	8000
rs0041	0.014632169813406485	0.011115232180424503	8000
rs0042	0.0173411523808034	0.011114745018253389	8000
rs0043	0.005220556217580658	0.011116283013598892	8000
rs0044	0.01475950599639895	0.011115211130688531	8000
rs0045	0.013932606100813944	0.011115344569983065	8000
rs0046	0.008807340276110562	0.011116000048859695	8000
rs0047	0.018606621780847012	0.011114489149206085	8000
rs0048	0.014047855800338903	0.011115326433181126	8000
rs0049	0.010404262154585153	0.011115827508500957	8000
rs0050	0.002269308879041133	0.011116407323632825	8000
rs0051	0.0044823674612524435	0.011116323294415257	8000
rs0052	0.011112448652248171	0.011115741810240855	8000
rs0053	0.012968871992739477	0.011115490382967271	8000
rs0054	0.0028582887592563683	0.01111639033967576	8000
rs0055	0.006367784663924092	0.01111620824803053	8000
rs0056	0.012550281006158449	0.011115550460893287	8000
rs0057	0.0006083296725292345	0.011116434203311097	8000
rs0058	0.027472933653189122	0.011112190909698451	8000
rs0059	0.009883489741286895	0.011115886927802215	8000
